,State Code,County Code,year,month,Location Setting,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
29622,45,79,2018,12,RURAL,12,0,0,0,0
29623,45,79,2018,12,SUBURBAN,18,1,0,0,0
29624,45,79,2019,1,RURAL,13,0,0,0,0
29625,45,79,2019,1,SUBURBAN,18,0,0,0,0
29626,45,79,2019,2,RURAL,26,0,0,0,0
29627,45,79,2019,2,SUBURBAN,2,0,0,0,0
29628,45,79,2019,3,RURAL,9,1,0,0,0
29629,45,79,2019,3,SUBURBAN,16,5,0,0,0
29630,45,79,2019,4,RURAL,6,2,0,0,0
29631,45,79,2019,4,SUBURBAN,16,6,0,0,0
29632,45,79,2019,5,RURAL,18,9,0,0,0
29633,45,79,2019,5,SUBURBAN,3,1,0,0,0
29634,45,79,2019,6,RURAL,20,6,0,0,0
29635,45,79,2019,6,SUBURBAN,2,2,0,0,0
29636,45,79,2019,7,RURAL,20,2,0,0,0
29637,45,79,2019,7,SUBURBAN,3,5,0,1,0
29638,45,79,2019,8,RURAL,2,0,0,0,0
29639,45,79,2019,8,SUBURBAN,27,2,0,0,0
29640,45,79,2019,9,RURAL,1,0,0,0,0
29641,45,79,2019,9,SUBURBAN,22,7,0,0,0
29642,45,79,2019,10,RURAL,6,0,0,0,0
29643,45,79,2019,10,SUBURBAN,23,2,0,0,0
29644,45,79,2019,11,RURAL,3,0,0,0,0
29645,45,79,2019,11,SUBURBAN,26,1,0,0,0
29646,45,79,2019,12,RURAL,2,0,0,0,0
29647,45,79,2019,12,SUBURBAN,29,0,0,0,0
29648,45,79,2020,1,RURAL,12,0,0,0,0
29649,45,79,2020,1,SUBURBAN,19,0,0,0,0
29650,45,79,2020,2,RURAL,26,0,0,0,0
29651,45,79,2020,2,SUBURBAN,3,0,0,0,0
29652,45,79,2020,3,RURAL,24,0,0,0,0
29653,45,79,2020,3,SUBURBAN,4,3,0,0,0
29654,45,79,2020,4,RURAL,29,1,0,0,0
29655,45,79,2020,5,RURAL,30,1,0,0,0
29656,45,79,2020,6,RURAL,21,0,0,0,0
29657,45,79,2020,6,SUBURBAN,8,1,0,0,0
29658,45,79,2020,7,RURAL,12,0,0,0,0
29659,45,79,2020,7,SUBURBAN,19,0,0,0,0
29660,45,79,2020,8,RURAL,11,0,0,0,0
29661,45,79,2020,8,SUBURBAN,17,3,0,0,0
29662,45,79,2020,9,RURAL,21,0,0,0,0
29663,45,79,2020,9,SUBURBAN,7,2,0,0,0
29664,45,79,2020,10,RURAL,21,0,0,0,0
29665,45,79,2020,10,SUBURBAN,9,1,0,0,0
29666,45,79,2020,11,RURAL,5,0,0,0,0
29667,45,79,2020,11,SUBURBAN,25,0,0,0,0
29668,45,79,2020,12,SUBURBAN,30,1,0,0,0
29669,45,83,2018,1,URBAN AND CENTER CITY,9,1,0,0,0
29670,45,83,2018,2,RURAL,8,0,0,0,0
29671,45,83,2018,2,URBAN AND CENTER CITY,17,0,0,0,0
29672,45,83,2018,3,RURAL,26,1,0,0,0
29673,45,83,2018,3,URBAN AND CENTER CITY,0,4,0,0,0
29674,45,83,2018,4,RURAL,24,5,0,0,0
29675,45,83,2018,4,URBAN AND CENTER CITY,0,1,0,0,0
29676,45,83,2018,5,RURAL,20,6,0,0,0
29677,45,83,2018,5,URBAN AND CENTER CITY,3,2,0,0,0
29678,45,83,2018,6,RURAL,15,7,0,0,0
29679,45,83,2018,6,URBAN AND CENTER CITY,5,3,0,0,0
29680,45,83,2018,7,RURAL,17,2,0,0,0
29681,45,83,2018,7,URBAN AND CENTER CITY,6,6,0,0,0
29682,45,83,2018,8,RURAL,21,0,0,0,0
29683,45,83,2018,8,URBAN AND CENTER CITY,3,7,0,0,0
29684,45,83,2018,9,RURAL,20,0,0,0,0
29685,45,83,2018,9,URBAN AND CENTER CITY,10,0,0,0,0
29686,45,83,2018,10,RURAL,1,0,0,0,0
29687,45,83,2018,10,URBAN AND CENTER CITY,26,2,0,0,0
29688,45,83,2018,11,URBAN AND CENTER CITY,23,3,0,0,0
29689,45,83,2018,12,URBAN AND CENTER CITY,20,3,0,0,0
29690,45,83,2019,1,URBAN AND CENTER CITY,27,2,0,0,0
29691,45,83,2019,2,RURAL,14,0,0,0,0
29692,45,83,2019,2,URBAN AND CENTER CITY,9,5,0,0,0
29693,45,83,2019,3,RURAL,19,8,0,0,0
29694,45,83,2019,3,URBAN AND CENTER CITY,3,1,0,0,0
29695,45,83,2019,4,RURAL,16,13,0,0,0
29696,45,83,2019,4,URBAN AND CENTER CITY,1,0,0,0,0
29697,45,83,2019,5,RURAL,17,7,0,0,0
29698,45,83,2019,5,URBAN AND CENTER CITY,3,4,0,0,0
29699,45,83,2019,6,RURAL,19,9,0,0,0
29700,45,83,2019,6,URBAN AND CENTER CITY,1,1,0,0,0
29701,45,83,2019,7,RURAL,20,8,0,0,0
29702,45,83,2019,7,URBAN AND CENTER CITY,2,1,0,0,0
29703,45,83,2019,8,RURAL,21,7,0,0,0
29704,45,83,2019,8,URBAN AND CENTER CITY,2,1,0,0,0
29705,45,83,2019,9,RURAL,18,9,0,0,0
29706,45,83,2019,9,URBAN AND CENTER CITY,1,2,0,0,0
29707,45,83,2019,10,RURAL,21,1,0,0,0
29708,45,83,2019,10,URBAN AND CENTER CITY,6,3,0,0,0
29709,45,83,2019,11,RURAL,12,0,0,0,0
29710,45,83,2019,11,URBAN AND CENTER CITY,13,5,0,0,0
29711,45,83,2019,12,URBAN AND CENTER CITY,17,0,0,0,0
29712,45,83,2020,1,URBAN AND CENTER CITY,30,1,0,0,0
29713,45,83,2020,2,RURAL,15,0,0,0,0
29714,45,83,2020,2,URBAN AND CENTER CITY,11,3,0,0,0
29715,45,83,2020,3,RURAL,18,1,0,0,0
29716,45,83,2020,3,URBAN AND CENTER CITY,10,2,0,0,0
29717,45,83,2020,4,RURAL,26,0,0,0,0
29718,45,83,2020,4,URBAN AND CENTER CITY,2,2,0,0,0
29719,45,83,2020,5,RURAL,27,1,0,0,0
29720,45,83,2020,5,URBAN AND CENTER CITY,3,0,0,0,0
29721,45,83,2020,6,RURAL,19,6,0,0,0
29722,45,83,2020,6,URBAN AND CENTER CITY,3,2,0,0,0
29723,45,83,2020,7,RURAL,20,4,0,1,0
29724,45,83,2020,7,URBAN AND CENTER CITY,4,2,0,0,0
29725,45,83,2020,8,RURAL,14,1,0,0,0
29726,45,83,2020,8,URBAN AND CENTER CITY,12,0,0,0,0
29727,45,83,2020,9,RURAL,21,0,0,0,0
29728,45,83,2020,9,URBAN AND CENTER CITY,7,2,0,0,0
29729,45,83,2020,10,RURAL,11,1,0,0,0
29730,45,83,2020,10,URBAN AND CENTER CITY,14,5,0,0,0
29731,45,83,2020,11,RURAL,4,0,0,0,0
29732,45,83,2020,11,URBAN AND CENTER CITY,15,5,0,0,0
29733,45,83,2020,12,URBAN AND CENTER CITY,16,8,0,0,0
29734,45,91,2018,1,RURAL,31,0,0,0,0
29735,45,91,2018,2,RURAL,28,0,0,0,0
29736,45,91,2018,3,RURAL,6,0,0,0,0
29737,45,91,2018,3,SUBURBAN,24,1,0,0,0
29738,45,91,2018,4,RURAL,4,3,0,0,0
29739,45,91,2018,4,SUBURBAN,18,5,0,0,0
29740,45,91,2018,5,RURAL,12,2,0,0,0
29741,45,91,2018,5,SUBURBAN,11,6,0,0,0
29742,45,91,2018,6,RURAL,10,4,0,1,0
29743,45,91,2018,6,SUBURBAN,9,6,0,0,0
29744,45,91,2018,7,RURAL,13,1,0,0,0
29745,45,91,2018,7,SUBURBAN,11,5,0,1,0
29746,45,91,2018,8,RURAL,2,3,0,0,0
